,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
2,Toyota, Vitz,2017,Automatic,Petrol,1000,20500,6850000
3,Toyota, VITZ,2015,Automatic,Petrol,1000,36000,5490000
4,Toyota, VITZ,2016,Automatic,Petrol,1000,55000,6250000
7,Toyota, Vios,2006,Automatic,Petrol,1500,163500,4200000
11,Toyota, SAI,2010,Automatic,Petrol,2300,91000,9000000
12,Toyota, Corolla,2008,Automatic,Petrol,1600,126550,6000000
13,Toyota, Coaster,2008,Automatic,Diesel,4000,200000,5200000
17,Toyota, Axio,2010,Automatic,Petrol,1500,78162,7850000
18,Toyota, Prius,2009,Automatic,Petrol,1800,200000,4995000
20,Toyota, Aqua,2013,Automatic,Petrol,1500,106000,5290000
22,Toyota, Vitz,2007,Automatic,Petrol,1000,91000,4520000
24,Toyota, Pixis,2014,Automatic,Petrol,650,100000,3675000
26,Toyota, Sprinter,2000,Automatic,Petrol,1500,10857,2890000
28,Toyota, Allion,2009,Automatic,Petrol,1500,122000,6975000
31,Toyota, Vitz,2017,Automatic,Petrol,1000,44500,8250000
33,Toyota, Harier,2007,Automatic,Petrol,2400,106231,7350000
34,Toyota, Corolla,2007,Automatic,Petrol,1600,88000,5850000
35,Toyota, Rush,2010,Automatic,Petrol,1500,82800,7350000
36,Toyota, VITZ,2018,Automatic,Petrol,1000,22750,6725000
37,Toyota, Vitz,2017,Automatic,Petrol,1000,56000,6400000
41,Toyota, Aqua,2013,Automatic,Petrol,1500,80000,5300000
43,Toyota, Land,2008,Automatic,Diesel,3000,206000,3500000
48,Toyota, Coaster,2014,Automatic,Diesel,4000,100000,8900000
51,Toyota, Aqua,2012,Automatic,Petrol,1500,128500,5700000
52,Toyota, KDH,2007,Automatic,Diesel,2500,200000,8100000
53,Toyota, Vitz,2016,Automatic,Petrol,1000,77000,6495000
55,Toyota, Aqua,2012,Automatic,Petrol,1500,140000,4990000
56,Toyota, Vitz,2007,Automatic,Petrol,1000,81000,4495000
58,Toyota, Belta,2007,Automatic,Petrol,1000,121000,5195000
59,Toyota, Allion,2008,Automatic,Petrol,1500,76415,7250000
60,Toyota, Hilux,2008,Automatic,Diesel,3000,164000,9700000
61,Toyota, Corolla,2008,Automatic,Petrol,1598,120413,4950000
62,Toyota, Axio,2013,Automatic,Petrol,1490,101000,7350000
65,Toyota, KDH,2007,Automatic,Diesel,3000,145200,9175000
66,Toyota, Axio,2007,Automatic,Petrol,1500,160000,6150000
67,Toyota, Vitz,2000,Automatic,Petrol,1000,145000,3200000
68,Toyota, Premio,2014,Automatic,Petrol,1500,115000,10500000
71,Toyota, Allion,2010,Automatic,Petrol,1500,100,7600000
72,Toyota, KT42,2000,Automatic,Diesel,2180,218000,4985000
73,Toyota, NHP,2015,Automatic,Petrol,1500,68900,7485000
74,Toyota, Prius,2011,Automatic,Petrol,1800,156000,5650000
81,Toyota, Vitz,2011,Automatic,Petrol,1000,120000,5300000
83,Toyota, VITZ,2007,Automatic,Petrol,1000,114000,4550000
84,Toyota, Aqua,2014,Automatic,Petrol,1500,114000,6875000
85,Toyota, Ractis,2007,Automatic,Petrol,1300,118000,4790000
87,Toyota, Vitz,2015,Automatic,Petrol,1000,53000,6275000
88,Toyota, Axio,2007,Automatic,Petrol,1500,170000,6350000
91,Toyota, Aqua,2014,Automatic,Petrol,1500,64025,6650000
92,Toyota, Prius,2011,Automatic,Petrol,1,102000,7300000
93,Toyota, Vitz,2008,Automatic,Petrol,1000,123500,4390000
94,Toyota, Aqua,2013,Automatic,Petrol,1500,130000,5400000
95,Toyota, Aqua,2013,Automatic,Petrol,1500,130000,5400000
96,Toyota, Axio,2007,Automatic,Petrol,1500,149000,5950000
102,Toyota, Aqua,2016,Automatic,Petrol,1500,66500,7150000
104,Toyota, KDH,2007,Automatic,Diesel,2490,162000,9375000
105,Toyota, Passo,2008,Automatic,Petrol,1000,110000,3975000
106,Toyota, VIOS,2003,Automatic,Petrol,1500,151106,4695000
107,Toyota, Axio,2016,Automatic,Petrol,1500,55000,10500000
108,Toyota, Passo,2007,Automatic,Petrol,1000,111,3400000
109,Toyota, Aqua,2014,Automatic,Petrol,1500,49000,7000000
110,Toyota, Allion,2013,Automatic,Petrol,1500,80000,10500000
112,Toyota, IST,2008,Automatic,Petrol,1500,137000,6300000
117,Toyota, Aqua,2015,Automatic,Petrol,1500,72000,7925000
120,Toyota, Prius,2015,Automatic,Petrol,1799,97000,7850000
121,Toyota, Dyna,2001,Automatic,Diesel,4610,89000,350000
123,Toyota, Aqua,2013,Automatic,Petrol,1500,110000,5400000
124,Toyota, Vitz,2007,Automatic,Petrol,1000,165214,4495000
125,Toyota, Prius,2013,Automatic,Petrol,1800,950000,7150000
126,Toyota, Vitz,2007,Automatic,Petrol,1000,97000,4550000
127,Toyota, KDH,2011,Automatic,Diesel,3000,153000,8550000
128,Toyota, Vitz,2008,Automatic,Petrol,1000,93000,4390000
129,Toyota, Axio,2014,Automatic,Petrol,1500,93000,7500000
130,Toyota, Aqua,2015,Automatic,Petrol,1500,48000,8250000
132,Toyota, Corolla,2010,Automatic,Petrol,1598,64000,6890000
135,Toyota, Aqua,2013,Automatic,Petrol,1500,170000,5675000
136,Toyota, TOWNACE,2002,Automatic,Diesel,2180,160000,2750000
137,Toyota, Axio,2017,Automatic,Petrol,1500,61760,9500000
140,Toyota, Prius,2012,Automatic,Petrol,1800,130000,6900000
141,Toyota, Vitz,2019,Automatic,Petrol,1000,24000,8050000
142,Toyota, Prius,2014,Automatic,Petrol,1800,74000,8125000
144,Toyota, Allion,2009,Automatic,Petrol,1500,165000,6975000
146,Toyota, Premio,2013,Automatic,Petrol,1500,80000,9850000
148,Toyota, Aqua,2015,Automatic,Petrol,1500,42000,6650000
149,Toyota, Prius,2013,Automatic,Petrol,1800,113000,6500000
150,Toyota, Vitz,2008,Automatic,Petrol,1000,124000,4700000
151,Toyota, KDH,2015,Automatic,Petrol,2000,68000,10200000
154,Toyota, Vitz,2016,Automatic,Petrol,990,83000,6950000
155,Toyota, Axio,2007,Automatic,Petrol,1500,158800,6800000
156,Toyota, Vitz,2008,Automatic,Petrol,1000,87000,4195000
158,Toyota, ALLION,2010,Automatic,Petrol,1490,100000,8675000
159,Toyota, Corolla,2006,Manual,Petrol,1300,167000,4950000
160,Toyota, Hilux,2007,Manual,Diesel,2900,165000,8500000
161,Toyota, Allion,2007,Automatic,Petrol,1500,1900000,6200000
163,Toyota, Aqua,2014,Automatic,Petrol,1500,96000,6990000
164,Toyota, VIOS,2004,Manual,Petrol,1500,165000,3750000
165,Toyota, Hilux,2007,Automatic,Diesel,3000,130000,9750000
166,Toyota, Corolla,2005,Automatic,Petrol,1500,101500,4900000
168,Toyota, Aqua,2014,Automatic,Petrol,1500,120000,6100000
174,Toyota, Prius,2013,Automatic,Petrol,1800,198000,6300000
175,Toyota, Prius,2012,Automatic,Petrol,1790,105000,6350000
177,Toyota, Aqua,2014,Automatic,Petrol,1500,121000,6950000
178,Toyota, VITZ,2016,Automatic,Petrol,1000,23000,6100000
179,Toyota, Axio,2017,Automatic,Petrol,1000,62000,10500000
181,Toyota, Passo,2007,Automatic,Petrol,1000,65000,3790000
184,Toyota, Vitz,2007,Automatic,Petrol,1000,132000,4790000
186,Toyota, PRIUS,2009,Automatic,Petrol,1500,160000,5890000
187,Toyota, Aqua,2014,Automatic,Petrol,1500,95000,5100000
188,Toyota, Avanza,2010,Manual,Petrol,1320,133000,3950000
189,Toyota, Aqua,2013,Automatic,Petrol,1500,65000,4950000
190,Toyota, PRIUS,2012,Automatic,Petrol,1800,115000,6500000
191,Toyota, Prius,2012,Automatic,Petrol,1500,201000,5200000
193,Toyota, Aqua,2015,Automatic,Petrol,1500,83000,8275000
194,Toyota, Prius,2014,Automatic,Petrol,1800,17000,7825000
195,Toyota, Harrier,2002,Automatic,Petrol,2300,138000,5690000
196,Toyota, Axio,2015,Automatic,Petrol,1500,115000,8150000
197,Toyota, Permio,2013,Automatic,Petrol,1500,63000,9450000
199,Toyota, Axio,2017,Automatic,Petrol,1500,70000,9750000
200,Toyota, Soluna,2000,Automatic,Petrol,1500,129000,2890000
202,Toyota, Hilux,2010,Automatic,Diesel,2500,139000,6750000
203,Toyota, Corolla,2008,Automatic,Petrol,1598,135000,5550000
204,Toyota, Vitz,2018,Automatic,Petrol,990,59000,6975000
205,Toyota, Prius,2013,Automatic,Petrol,1790,114320,6975000
206,Toyota, KDH,2007,Automatic,Diesel,2500,131000,9750000
207,Toyota, Vitz,2017,Automatic,Petrol,990,31000,6490000
209,Toyota, Corolla,2002,Automatic,Petrol,1500,167000,5350000
211,Toyota, Belta,2009,Automatic,Petrol,1300,110000,5950000
212,Toyota, Axio,2011,Automatic,Petrol,1500,100000,6900000
213,Toyota, Vitz,2018,Automatic,Petrol,1000,11800,6825000
214,Toyota, Prius,2015,Automatic,Petrol,1800,80000,4950000
215,Toyota, Ist,2010,Automatic,Petrol,1500,108040,5850000
217,Toyota, Aqua,2015,Automatic,Petrol,1500,63000,8125000
220,Toyota, Vitz,2020,Automatic,Petrol,1000,15000,7600000
221,Toyota, Aqua,2012,Automatic,Petrol,1500,76644,5850000
222,Toyota, Aqua,2012,Automatic,Petrol,1500,76644,5850000
223,Toyota, AXIO,2014,Automatic,Petrol,1500,95406,7595000
224,Toyota, VITZ,2018,Automatic,Petrol,1000,30000,7775000
225,Toyota, Vitz,2014,Automatic,Petrol,1000,105000,5750000
226,Toyota, Corolla,2007,Automatic,Petrol,1600,89800,6050000
227,Toyota, Aqua,2012,Automatic,Petrol,1500,132000,4900000
228,Toyota, Prius,2014,Automatic,Petrol,1800,69000,7850000
229,Toyota, Allion,2007,Automatic,Petrol,1500,119000,6790000
230,Toyota, Premio,2010,Automatic,Petrol,1500,112000,8200000
232,Toyota, VITZ,2017,Automatic,Petrol,1000,30000,6890000
233,Toyota, KDH,2006,Automatic,Diesel,2500,160000,8850000
235,Toyota, Vitz,2008,Automatic,Petrol,1000,99000,4350000
236,Toyota, Vitz,2017,Automatic,Petrol,1000,46000,7850000
237,Toyota, Allion,2003,Automatic,Petrol,1500,129000,5900000
238,Toyota, Prius,2013,Automatic,Petrol,1800,56000,6950000
239,Toyota, Axio,2014,Automatic,Petrol,1500,92000,6800000
240,Toyota, Vitz,2015,Automatic,Petrol,1000,45000,6250000
244,Toyota, Vitz,2017,Automatic,Petrol,1000,24000,6325000
245,Toyota, Axio,2010,Automatic,Petrol,1500,120000,7360000
246,Toyota, Vios,2007,Automatic,Petrol,1500,114000,4990000
247,Toyota, Prius,2010,Automatic,Petrol,1800,215,5425000
248,Toyota, Passo,2017,Automatic,Petrol,1000,11000,6850000
249,Toyota, Pirus,2013,Automatic,Petrol,1799,111000,6590000
250,Toyota, Vitz,2016,Automatic,Petrol,990,64000,5800000
251,Toyota, Vios,2003,Manual,Petrol,1500,148950,3650000
253,Toyota, Aqua,2014,Automatic,Petrol,1500,131000,6850000
254,Toyota, Allion,2007,Automatic,Petrol,1500,175000,5650000
255,Toyota, Axio,2007,Automatic,Petrol,1500,142000,6375000
259,Toyota, Allion,2005,Automatic,Petrol,1500,161,6590000
260,Toyota, Vitz,2007,Automatic,Petrol,1000,90000,4275000
261,Toyota, Aqua,2013,Automatic,Petrol,1500,178000,5700000
262,Toyota, Prius,2012,Automatic,Petrol,1800,160000,7200000
264,Toyota, Prius,2011,Automatic,Petrol,1800,100000,6000000
265,Toyota, Kdh,2006,Automatic,Diesel,2500,162000,8100000
266,Toyota, Prius,2013,Automatic,Petrol,1796,135000,6750000
270,Toyota, CAMRY,2007,Automatic,Petrol,2400,83200,7750000
271,Toyota, Allion,2002,Automatic,Petrol,1500,208000,6000000
272,Toyota, Hiace,2001,Manual,Diesel,3000,374000,4800000
273,Toyota, KDH,2006,Automatic,Diesel,2500,161000,8250000
274,Toyota, Prius,2013,Automatic,Petrol,1800,92000,6975000
275,Toyota, VITZ,2016,Automatic,Petrol,1000,40000,6450000
276,Toyota, Axio,2015,Automatic,Petrol,1500,96000,8200000
277,Toyota, Axio,2015,Automatic,Petrol,1500,96000,8200000
280,Toyota, VITZ,2016,Automatic,Petrol,1000,35000,6200000
281,Toyota, VITZ,2016,Automatic,Petrol,1000,23000,6450000
282,Toyota, Prius,2007,Automatic,Petrol,1500,82000,4350000
283,Toyota, Corolla,2003,Automatic,Petrol,1500,200000,4950000
284,Toyota, VITZ,2017,Automatic,Petrol,1000,50000,6950000
285,Toyota, VITZ,2016,Automatic,Petrol,1000,50000,6750000
286,Toyota, Aqua,2013,Automatic,Petrol,1500,89000,5375000
287,Toyota, Vitz,2019,Automatic,Petrol,1000,3500,8550000
288,Toyota, Axio,2013,Automatic,Petrol,1500,85000,6750000
289,Toyota, Aqua,2015,Automatic,Petrol,1500,58000,6890000
290,Toyota, VITZ,2018,Automatic,Petrol,1000,7000,7500000
291,Toyota, Vitz,2018,Automatic,Petrol,1000,20000,7100000
294,Toyota, Hilux,2009,Manual,Diesel,3000,147000,7565000
297,Toyota, L200,2007,Manual,Diesel,3000,165000,7350000
298,Toyota, Passo,2017,Automatic,Petrol,1000,54000,6500000
301,Toyota, Belta,2008,Automatic,Petrol,1300,81000,5950000
302,Toyota, Aqua,2016,Automatic,Petrol,1500,49500,8290000
303,Toyota, Prius,2013,Automatic,Petrol,1800,89500,7650000
305,Toyota, Aqua,2016,Automatic,Petrol,1500,120000,5500000
306,Toyota, Premio,2013,Automatic,Petrol,1500,80000,9650000
307,Toyota, Super,2009,Automatic,Diesel,2800,157000,8975000
308,Toyota, RAV4,2007,Automatic,Petrol,2400,100000,7290000
309,Toyota, Premio,2013,Automatic,Petrol,1500,85000,8850000
310,Toyota, LH172,2001,Manual,Diesel,3000,210000,5750000
311,Toyota, Aqua,2012,Automatic,Petrol,1500,100000,5290000
312,Toyota, Axio,2015,Automatic,Petrol,1500,91000,7950000
315,Toyota, Yaris,2008,Automatic,Petrol,1300,120000,4775000
317,Toyota, Premio,2012,Automatic,Petrol,1500,97000,10600000
318,Toyota, Vitz,2015,Automatic,Petrol,1000,60000,5975000
319,Toyota, Vitz,2017,Automatic,Petrol,1000,16500,7700000
320,Toyota, Vitz,2017,Automatic,Petrol,1000,16500,8175000
321,Toyota, Vitz,2005,Automatic,Petrol,1000,110000,4200000
322,Toyota, Vitz,2000,Manual,Petrol,1300,164000,2970000
323,Toyota, Vitz,2012,Automatic,Petrol,1000,70000,5300000
324,Toyota, AXIO,2007,Automatic,Petrol,1500,180000,6550000
327,Toyota, Vios,2003,Automatic,Petrol,1500,161000,4050000
328,Toyota, PRIUS,2011,Automatic,Petrol,1800,145000,6100000
329,Toyota, AQUA,2012,Automatic,Petrol,1500,94000,5075000
330,Toyota, Axio,2016,Automatic,Petrol,1500,75000,10250000
331,Toyota, Belta,2007,Automatic,Petrol,1300,97000,5450000
333,Toyota, Axio,2008,Automatic,Petrol,1500,110000,6490000
334,Toyota, Allion,2004,Automatic,Petrol,1500,180000,5700000
335,Toyota, AQUA,2015,Automatic,Petrol,1500,106000,5900000
337,Toyota, Aqua,2016,Automatic,Petrol,1500,71000,7500000
340,Toyota, Hilux,2010,Manual,Diesel,2500,268000,9500000
346,Toyota, Corolla,2005,Automatic,Petrol,1500,226000,5950000
348,Toyota, Prius,2012,Automatic,Petrol,1800,93000,6675000
349,Toyota, BELTA,2006,Automatic,Petrol,1000,146000,4850000
350,Toyota, Vitz,2019,Automatic,Petrol,1000,27000,8250000
351,Toyota, Vitz,2014,Automatic,Petrol,1000,18500,5800000
352,Toyota, Noah,2003,Automatic,Petrol,1700,120000,5750000
353,Toyota, KDH,2006,Automatic,Diesel,2500,195000,8300000
357,Toyota, VITZ,2017,Automatic,Petrol,1000,44000,8450000
358,Toyota, Corolla,2000,Automatic,Petrol,1490,116690,4050000
359,Toyota, Passo,2016,Automatic,Petrol,1000,62500,6050000
360,Toyota, Corolla,2003,Automatic,Petrol,1500,151000,4675000
363,Toyota, Vios,2004,Automatic,Petrol,1500,177000,4250000
364,Toyota, Axio,2014,Automatic,Petrol,1500,122000,7150000
365,Toyota, Aqua,2014,Automatic,Petrol,1500,90000,6100000
366,Toyota, 141,2012,Manual,Petrol,1598,170000,6000000
368,Toyota, Vitz,2015,Automatic,Petrol,1000,78000,5425000
369,Toyota, Vitz,2015,Automatic,Petrol,1000,78000,5425000
371,Toyota, Corolla,2004,Automatic,Petrol,1500,160,4795000
372,Toyota, Dolphin,2000,Manual,Diesel,30000,160000,5890000
373,Toyota, Aqua,2013,Automatic,Petrol,1500,117000,5200000
377,Toyota, Corolla,2003,Automatic,Petrol,1500,180000,4575000
378,Toyota, Allion,2010,Automatic,Petrol,1500,110000,8200000
379,Toyota, Vitz,2016,Automatic,Petrol,1000,66000,6150000
380,Toyota, AQUA,2013,Automatic,Petrol,1500,72000,5950000
381,Toyota, AXIO,2007,Automatic,Petrol,1500,109000,6580000
382,Toyota, Carina,2008,Automatic,Petrol,1500,49000,3750000
383,Toyota, Vitz,2007,Automatic,Diesel,1000,121345,4375000
384,Toyota, PASSO,2007,Automatic,Petrol,1000,120000,3750000
385,Toyota, VITZ,2005,Automatic,Petrol,1000,120000,4290000
387,Toyota, Vitz,2016,Automatic,Petrol,1000,72000,7200000
388,Toyota, AQUA,2015,Automatic,Petrol,1500,69000,6950000
390,Toyota, Aqua,2014,Automatic,Petrol,1500,81000,5785000
391,Toyota, AXIO,2008,Automatic,Petrol,1500,141000,6870000
393,Toyota, Axio,2016,Automatic,Petrol,1500,64000,8925000
394,Toyota, Vios,2003,Automatic,Petrol,1500,148000,3975000
395,Toyota, Vitz,2007,Automatic,Petrol,1000,110000,4050000
396,Toyota, Allion,2007,Automatic,Petrol,1500,106000,6860000
398,Toyota, Corolla,2004,Automatic,Petrol,1500,132000,5600000
401,Toyota, Aqua,2012,Automatic,Petrol,1500,91000,5625000
402,Toyota, AXIO,2017,Automatic,Petrol,1500,45000,9390000
403,Toyota, Vitz,2016,Automatic,Petrol,990,44000,6290000
404,Toyota, PASSO,2008,Automatic,Petrol,1000,118000,4075000
406,Toyota, ALLION,2008,Automatic,Petrol,1500,96000,6590000
407,Toyota, CR36,2001,Manual,Diesel,2,158000,3550000
409,Toyota, PRIUS,2013,Automatic,Petrol,1800,120000,6290000
411,Toyota, AXIO,2017,Automatic,Petrol,1500,56000,9590000
412,Toyota, Yaris,2008,Automatic,Petrol,1300,115000,4775000
413,Toyota, CHR,2018,Automatic,Petrol,1200,28000,10890000
414,Toyota, HILUX,2008,Manual,Diesel,2980,44000,5690000
415,Toyota, Premio,2008,Automatic,Petrol,1500,96200,8325000
416,Toyota, KDH,2015,Automatic,Diesel,2500,147000,2800000
417,Toyota, Vitz,2018,Automatic,Petrol,1000,31000,6975000
418,Toyota, Vitz,2016,Automatic,Petrol,1000,30000,6590000
419,Toyota, Vios,2009,Automatic,Petrol,1500,122000,4590000
420,Toyota, Vios,2009,Automatic,Petrol,1500,122000,4590000
422,Toyota, TANK,2018,Automatic,Petrol,1000,37000,9875000
424,Toyota, Allion,2002,Automatic,Petrol,1,100000,4350000
425,Toyota, Hilux,2009,Manual,Diesel,3000,165000,7500000
426,Toyota, Vitz,2016,Automatic,Petrol,1000,70000,6550000
427,Toyota, Prius,2012,Automatic,Petrol,1800,90000,6000000
428,Toyota, Dyna,2017,Manual,Diesel,4000,19,6700000
437,Toyota, Aqua,2012,Automatic,Petrol,1500,180000,6050000
438,Toyota, Vitz,2018,Automatic,Petrol,1000,32000,8275000
440,Toyota, Passo,2007,Automatic,Petrol,1000,120000,3650000
441,Toyota, Passo,2007,Automatic,Petrol,1000,145000,3950000
443,Toyota, Axio,2016,Automatic,Petrol,1498,73000,6875000
444,Toyota, Passo,2007,Automatic,Petrol,1000,122,3550000
446,Toyota, Allion,2006,Automatic,Petrol,1500,120000,7350000
447,Toyota, Allion,2006,Automatic,Petrol,1500,120000,7350000
448,Toyota, Aqua,2013,Automatic,Petrol,1500,71000,5190000
449,Toyota, Harrier,2004,Automatic,Petrol,2390,139000,7750000
450,Toyota, Coaster,2004,Automatic,Diesel,4300,12234,4250000
451,Toyota, Axio,2013,Automatic,Petrol,1500,98000,7150000
454,Toyota, Vitz,2007,Automatic,Petrol,1000,161000,3975000
455,Toyota, KDH,2007,Automatic,Diesel,3000,145400,8275000
456,Toyota, Axio,2007,Automatic,Petrol,1500,184000,6000000
457,Toyota, Passo,2010,Automatic,Petrol,1000,52000,4025000
458,Toyota, KDH,2008,Manual,Diesel,3000,179000,7350000
459,Toyota, Aqua,2015,Automatic,Petrol,1500,95000,6890000
460,Toyota, Carina,2000,Automatic,Petrol,1500,175000,4450000
462,Toyota, Vitz,2018,Automatic,Petrol,990,60000,7680000
465,Toyota, Aqua,2012,Automatic,Petrol,1500,98000,4690000
466,Toyota, Axio,2015,Automatic,Petrol,1500,78000,7550000
468,Toyota, Axio,2007,Automatic,Petrol,1500,123000,6150000
469,Toyota, Prius,2011,Automatic,Petrol,1800,1111,6550000
471,Toyota, Prius,2013,Automatic,Petrol,1800,160000,6375000
473,Toyota, Toyoace,2004,Manual,Diesel,2779,1,3850000
474,Toyota, Toyoace,2004,Manual,Diesel,2779,1,3850000
475,Toyota, Aqua,2013,Automatic,Petrol,1500,105000,5500000
476,Toyota, Belta,2007,Automatic,Petrol,1000,137000,5500000
477,Toyota, Allion,2008,Automatic,Petrol,1500,147000,6850000
478,Toyota, Axio,2015,Automatic,Petrol,1500,78000,7250000
479,Toyota, Passo,2017,Automatic,Petrol,1000,55000,6750000
480,Toyota, Axio,2016,Automatic,Petrol,1500,112000,8800000
482,Toyota, Vitz,2007,Automatic,Petrol,1300,125000,5000000
487,Toyota, Coaster,2007,Automatic,Diesel,4000,214800,4850000
489,Toyota, KDH,2007,Automatic,Diesel,2500,163000,9550000
490,Toyota, Toyoace,2000,Manual,Diesel,3000,123,3050000
491,Toyota, Kdh,2007,Automatic,Diesel,2490,257000,8350000
495,Toyota, Allion,2003,Automatic,Petrol,1500,165000,6250000
496,Toyota, Premio,2013,Automatic,Petrol,1500,120000,10800000
498,Toyota, VITZ,2018,Automatic,Petrol,1000,51000,8350000
501,Toyota, Axio,2014,Manual,Petrol,1500,93000,7250000
503,Toyota, Vitz,2015,Automatic,Petrol,1000,66000,6250000
504,Toyota, Pixis,2017,Automatic,Petrol,650,76000,4850000
507,Toyota, BELTA,2008,Automatic,Petrol,1300,170000,5550000
508,Toyota, Belta,2008,Automatic,Petrol,1000,120000,5150000
509,Toyota, Townace,2005,Automatic,Diesel,1970,153000,4875000
510,Toyota, Allion,2008,Automatic,Petrol,1500,135000,7075000
511,Toyota, Cm80,2003,Automatic,Diesel,3,1411112,2700000
512,Toyota, Prius,2013,Automatic,Petrol,1790,120000,7500000
513,Toyota, Prius,2013,Automatic,Petrol,1790,120000,7500000
515,Toyota, Townace,2002,Manual,Diesel,2200,143000,4800000
517,Toyota, Hilux,2008,Manual,Diesel,2500,100,8400000
521,Toyota, Vios,2004,Automatic,Petrol,1500,128000,4250000
522,Toyota, Vitz,2015,Automatic,Petrol,990,43000,5490000
523,Toyota, Aqua,2013,Automatic,Petrol,1500,138000,6450000
524,Toyota, Yaris,2007,Automatic,Petrol,1300,136000,4980000
525,Toyota, Kdh,2016,Automatic,Petrol,2000,82000,1180000
526,Toyota, Aqua,2013,Automatic,Petrol,1500,87000,5700000
528,Toyota, Vitz,2015,Automatic,Petrol,1000,60000,6300000
529,Toyota, Aqua,2014,Automatic,Petrol,1500,68000,7750000
531,Toyota, Prius,2015,Automatic,Petrol,1800,57000,8000000
532,Toyota, IST,2003,Automatic,Petrol,1300,110000,3975000
533,Toyota, ISt,2003,Automatic,Petrol,1300,146000,3725000
534,Toyota, Prius,2012,Automatic,Petrol,1500,108000,5300000
535,Toyota, Prius,2012,Automatic,Petrol,1500,108000,5300000
537,Toyota, Harrier,2007,Automatic,Petrol,3300,135000,7900000
538,Toyota, Vitz,2009,Automatic,Petrol,1000,100000,4850000
539,Toyota, Coaster,2006,Automatic,Diesel,4000,115000,5500000
540,Toyota, Vitz,2008,Automatic,Petrol,1000,87000,4750000
541,Toyota, Vitz,2010,Automatic,Petrol,1300,83000,5350000
542,Toyota, Vitz,2008,Automatic,Petrol,1000,99000,5190000
543,Toyota, Vitz,2013,Automatic,Petrol,1000,65000,5900000
544,Toyota, Vitz,2017,Automatic,Petrol,1000,32000,7750000
545,Toyota, Vitz,2008,Automatic,Petrol,1000,105000,4690000
546,Toyota, Axio,2013,Automatic,Petrol,1500,91639,7000000
547,Toyota, Belta,2007,Automatic,Petrol,1000,122000,5190000
548,Toyota, Prius,2013,Automatic,Petrol,1800,108000,7200000
549,Toyota, Vios,2003,Automatic,Petrol,1500,176000,4100000
553,Toyota, AQUA,2012,Automatic,Petrol,1490,76000,4900000
556,Toyota, Corolla,2008,Automatic,Petrol,1600,138000,5500000
560,Toyota, Hilux,2008,Manual,Diesel,3000,82000,8850000
562,Toyota, Carina,2000,Automatic,Petrol,1500,292000,4250000
565,Toyota, Vitz,2010,Automatic,Petrol,1000,102300,4600000
568,Toyota, Axio,2015,Automatic,Petrol,1450,92000,8250000
570,Toyota, Corolla,2006,Automatic,Petrol,1500,183000,5025000
572,Toyota, Aqua,2012,Automatic,Petrol,1500,90000,5175000
574,Toyota, Vitz,2015,Automatic,Petrol,1000,42000,5900000
576,Toyota, Aqua,2016,Automatic,Petrol,1500,76500,6340000
578,Toyota, Harrier,2000,Automatic,Petrol,2160,209000,5400000
581,Toyota, Vios,2004,Automatic,Petrol,1500,142500,4250000
584,Toyota, Vitz,2018,Automatic,Petrol,1000,14100,7500000
586,Toyota, RUSH,2016,Automatic,Petrol,1500,50000,9500000
588,Toyota, Premio,2008,Automatic,Petrol,1500,95000,8425000
589,Toyota, Hilux,2009,Manual,Diesel,3000,180000,6900000
591,Toyota, Corolla,2004,Manual,Petrol,1400,175000,4325000
592,Toyota, AXIO,2016,Automatic,Petrol,1500,55000,8500000
593,Toyota, Allion,2007,Automatic,Petrol,1500,94000,6500000
594,Toyota, HILUX,2010,Automatic,Diesel,3000,205000,10700000
596,Toyota, Corolla,2007,Automatic,Petrol,1600,127000,6290000
597,Toyota, Axio,2007,Automatic,Petrol,1500,104000,6750000
601,Toyota, Allion,2006,Automatic,Petrol,1500,156000,6350000
604,Toyota, Allion,2006,Automatic,Petrol,1500,156000,6350000
605,Toyota, Axio,2008,Automatic,Petrol,1500,140000,6000000
606,Toyota, IST,2003,Automatic,Petrol,1300,190000,3765000
610,Toyota, Axio,2012,Automatic,Petrol,1500,129000,6950000
611,Toyota, KDH,2005,Manual,Diesel,2986,101000,6850000
612,Toyota, Vitz,2007,Automatic,Petrol,1300,91423,4480000
615,Toyota, Passo,2018,Automatic,Petrol,1000,52000,6200000
616,Toyota, Noah,2014,Automatic,Petrol,1790,94500,9790000
618,Toyota, Passo,2009,Automatic,Petrol,1000,99000,4000000
622,Toyota, VITZ,2017,Automatic,Petrol,1300,54000,6350000
624,Toyota, Axio,2012,Automatic,Petrol,1500,55000,7750000
625,Toyota, Rav4,2013,Automatic,Petrol,2360,65000,9950000
627,Toyota, Kdh,2010,Manual,Diesel,2500,150000,7600000
628,Toyota, IST,2007,Automatic,Petrol,1300,126000,4800000
629,Toyota, Allion,2007,Automatic,Petrol,1800,160000,7200000
631,Toyota, Corolla,2008,Automatic,Petrol,1600,140000,5350000
632,Toyota, Premio,2005,Automatic,Petrol,1490,130000,6400000
633,Toyota, VITZ,2017,Automatic,Petrol,1000,50000,7150000
635,Toyota, Aqua,2015,Automatic,Petrol,1500,70000,6900000
636,Toyota, VITZ,2017,Automatic,Petrol,1000,30000,6975000
637,Toyota, Townace,2009,Automatic,Petrol,1500,94000,4590000
