,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
4981,Toyota, Vitz,2008,Automatic,Petrol,1000,85000,4300000
4983,Toyota, AXIO,2016,Automatic,Petrol,1500,56000,9790000
4984,Toyota, Aqua,2012,Automatic,Petrol,1500,85000,5350000
4986,Toyota, Axio,2007,Automatic,Petrol,1500,127000,6350000
4987,Toyota, Axio,2013,Automatic,Petrol,1500,70100,9000000
4989,Toyota, Allion,2003,Automatic,Petrol,1500,197000,6500000
4991,Toyota, PREMIO,2010,Automatic,Petrol,150,150000,9450000
4993,Toyota, Vitz,2016,Automatic,Petrol,1000,34000,7000000
4996,Toyota, 162,2006,Manual,Diesel,3000,114000,5800000
4998,Toyota, Vitz,2017,Automatic,Petrol,990,36000,8200000
4999,Toyota, KDH,2006,Automatic,Diesel,2500,181000,8700000
5002,Toyota, AXIO,2007,Automatic,Petrol,1500,140000,6300000
5003,Toyota, Vitz,2016,Automatic,Petrol,1000,54000,7050000
5006,Toyota, Aqua,2015,Automatic,Petrol,1500,83000,6825000
5008,Toyota, Vitz,2017,Automatic,Petrol,1000,31000,7500000
5009,Toyota, Vitz,2018,Automatic,Petrol,1000,24000,8250000
5010,Toyota, Vitz,2008,Automatic,Petrol,1000,165000,4250000
5011,Toyota, Vitz,2017,Automatic,Petrol,1000,23000,7800000
5012,Toyota, Passo,2007,Automatic,Petrol,1000,125000,3950000
5013,Toyota, Prius,2008,Automatic,Petrol,1300,123,4950000
5015,Toyota, Premio,2000,Manual,Petrol,1720,183000,3475000
5016,Toyota, Allion,2004,Automatic,Petrol,1490,169345,6525000
5017,Toyota, Platz,2000,Manual,Petrol,1000,137000,2850000
5019,Toyota, Aqua,2012,Automatic,Petrol,1500,70000,6250000
5020,Toyota, Corolla,2007,Automatic,Petrol,1600,146000,5825000
5022,Toyota, Mark,2000,Automatic,Petrol,3000,85000,6250000
5024,Toyota, Yaris,2006,Automatic,Petrol,1300,125000,5075000
5025,Toyota, Vitz,2007,Automatic,Petrol,1000,124000,4450000
5026,Toyota, Prius,2012,Automatic,Petrol,1800,52000,6650000
